timestamp,camera_x,camera_y,camera_z,angle_start,angle_exit,session_startTime,session_endTime,map_width,map_height
1764089291102,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089291353,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089291611,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089291869,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089292128,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089292386,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089292637,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089292894,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089293145,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089293403,450.0,50.0,-850.0,,148.57,1764089291102,1764089318360,15,23
1764089293661,450.0,50.0,-775.0,0.0,147.48,1764089291102,1764089318360,15,23
1764089293919,450.0,50.0,-775.0,0.0,147.48,1764089291102,1764089318360,15,23
1764089294170,450.0,50.0,-775.0,0.0,147.48,1764089291102,1764089318360,15,23
1764089294427,450.0,50.0,-775.0,0.0,147.48,1764089291102,1764089318360,15,23
1764089294678,450.0,50.0,-775.0,59.59,152.94,1764089291102,1764089318360,15,23
1764089294936,450.0,50.0,-775.0,130.63,81.89,1764089291102,1764089318360,15,23
1764089295194,450.0,50.0,-775.0,171.89,40.64,1764089291102,1764089318360,15,23
1764089295453,450.0,50.0,-775.0,160.61,13.14,1764089291102,1764089318360,15,23
1764089295711,450.0,50.0,-775.0,110.19,37.28,1764089291102,1764089318360,15,23
1764089295969,450.0,50.0,-775.0,64.35,83.12,1764089291102,1764089318360,15,23
1764089296227,450.0,50.0,-775.0,64.35,83.12,1764089291102,1764089318360,15,23
1764089296486,450.0,50.0,-775.0,107.9,39.58,1764089291102,1764089318360,15,23
1764089296744,450.0,50.0,-775.0,107.9,39.58,1764089291102,1764089318360,15,23
1764089297002,450.0,50.0,-775.0,126.23,21.24,1764089291102,1764089318360,15,23
1764089297260,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089297519,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089297777,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089298035,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089298294,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089298552,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089298812,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089299069,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089299326,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089299577,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089299835,450.0,50.0,-775.0,139.98,7.49,1764089291102,1764089318360,15,23
1764089300093,450.0,50.0,-775.0,140.56,6.92,1764089291102,1764089318360,15,23
1764089300354,450.0,50.0,-775.0,140.56,6.92,1764089291102,1764089318360,15,23
1764089300612,450.0,50.0,-775.0,140.56,6.92,1764089291102,1764089318360,15,23
1764089300869,450.0,50.0,-775.0,140.56,6.92,1764089291102,1764089318360,15,23
1764089301127,450.0,50.0,-775.0,140.56,6.92,1764089291102,1764089318360,15,23
1764089301385,507.43,50.0,-830.67,62.28,13.29,1764089291102,1764089318360,15,23
1764089301643,521.89,50.0,-844.48,48.07,13.17,1764089291102,1764089318360,15,23
1764089301895,521.89,50.0,-844.48,48.07,13.17,1764089291102,1764089318360,15,23
1764089302152,521.89,50.0,-844.48,0.06,61.3,1764089291102,1764089318360,15,23
1764089302410,521.89,50.0,-844.48,0.06,61.3,1764089291102,1764089318360,15,23
1764089302661,427.18,50.0,-851.85,179.81,63.58,1764089291102,1764089318360,15,23
1764089302918,357.39,50.0,-857.28,179.95,65.31,1764089291102,1764089318360,15,23
1764089303169,357.39,50.0,-857.28,159.33,44.68,1764089291102,1764089318360,15,23
1764089303426,357.39,50.0,-857.28,134.12,19.47,1764089291102,1764089318360,15,23
1764089303677,357.39,50.0,-857.28,134.12,19.47,1764089291102,1764089318360,15,23
1764089303928,357.39,50.0,-857.28,90.57,24.07,1764089291102,1764089318360,15,23
1764089304187,355.62,50.0,-837.36,102.7,24.3,1764089291102,1764089318360,15,23
1764089304444,341.94,50.0,-682.96,152.16,26.21,1764089291102,1764089318360,15,23
1764089304702,337.52,50.0,-633.16,157.65,26.89,1764089291102,1764089318360,15,23
1764089304960,326.93,50.0,-513.63,164.97,28.66,1764089291102,1764089318360,15,23
1764089305211,324.28,50.0,-483.74,177.58,17.67,1764089291102,1764089318360,15,23
1764089305467,324.28,50.0,-483.74,129.71,35.04,1764089291102,1764089318360,15,23
1764089305719,291.55,50.0,-471.33,133.47,35.71,1764089291102,1764089318360,15,23
1764089305977,235.45,50.0,-450.06,138.98,36.93,1764089291102,1764089318360,15,23
1764089306235,235.45,50.0,-450.06,166.02,18.08,1764089291102,1764089318360,15,23
1764089306493,235.45,50.0,-450.06,156.85,27.25,1764089291102,1764089318360,15,23
1764089306751,235.45,50.0,-450.06,161.44,22.66,1764089291102,1764089318360,15,23
1764089307002,235.45,50.0,-450.06,164.19,11.72,1764089291102,1764089318360,15,23
1764089307253,159.0,50.0,-370.97,167.25,12.54,1764089291102,1764089318360,15,23
1764089307510,82.55,50.0,-291.88,169.33,13.49,1764089291102,1764089318360,15,23
1764089307768,82.55,50.0,-291.88,169.33,13.49,1764089291102,1764089318360,15,23
1764089308026,82.55,50.0,-291.88,169.33,13.49,1764089291102,1764089318360,15,23
1764089308284,82.55,50.0,-291.88,137.25,45.58,1764089291102,1764089318360,15,23
1764089308542,82.55,50.0,-291.88,109.75,73.08,1764089291102,1764089318360,15,23
1764089308800,82.55,50.0,-291.88,89.12,93.71,1764089291102,1764089318360,15,23
1764089309059,82.55,50.0,-291.88,38.7,144.13,1764089291102,1764089318360,15,23
1764089309317,82.55,50.0,-291.88,22.66,160.17,1764089291102,1764089318360,15,23
1764089309575,82.55,50.0,-291.88,6.61,176.21,1764089291102,1764089318360,15,23
1764089309834,82.55,50.0,-291.88,6.61,176.21,1764089291102,1764089318360,15,23
1764089310092,109.55,50.0,-345.46,7.26,176.36,1764089291102,1764089318360,15,23
1764089310350,177.06,50.0,-479.41,9.63,176.69,1764089291102,1764089318360,15,23
1764089310609,177.06,50.0,-479.41,44.0,142.32,1764089291102,1764089318360,15,23
1764089310860,177.06,50.0,-479.41,85.26,101.06,1764089291102,1764089318360,15,23
1764089311119,177.06,50.0,-479.41,85.26,101.06,1764089291102,1764089318360,15,23
1764089311375,101.72,50.0,-545.17,97.69,104.42,1764089291102,1764089318360,15,23
1764089311634,75.35,50.0,-568.19,101.93,105.58,1764089291102,1764089318360,15,23
1764089311892,75.35,50.0,-568.19,58.39,149.12,1764089291102,1764089318360,15,23
1764089312150,72.1,50.0,-603.03,62.17,149.72,1764089291102,1764089318360,15,23
1764089312408,59.07,50.0,-742.43,79.95,151.93,1764089291102,1764089318360,15,23
1764089312667,59.07,50.0,-742.43,79.95,151.93,1764089291102,1764089318360,15,23
1764089312925,54.88,50.0,-787.23,86.31,152.58,1764089291102,1764089318360,15,23
1764089313183,48.37,50.0,-856.93,96.33,153.53,1764089291102,1764089318360,15,23
1764089313442,48.37,50.0,-856.93,142.16,107.69,1764089291102,1764089318360,15,23
1764089313700,48.37,50.0,-856.93,142.16,107.69,1764089291102,1764089318360,15,23
1764089313951,48.37,50.0,-856.93,178.83,71.02,1764089291102,1764089318360,15,23
1764089314208,48.37,50.0,-856.93,165.12,54.98,1764089291102,1764089318360,15,23
1764089314459,-5.02,50.0,-843.73,166.9,56.33,1764089291102,1764089318360,15,23
1764089314717,-43.86,50.0,-834.13,167.95,57.35,1764089291102,1764089318360,15,23
1764089314974,-43.86,50.0,-834.13,139.33,110.06,1764089291102,1764089318360,15,23
1764089315225,-43.86,50.0,-834.13,137.04,112.35,1764089291102,1764089318360,15,23
1764089315483,-43.86,50.0,-834.13,95.79,153.6,1764089291102,1764089318360,15,23
1764089315741,-43.86,50.0,-834.13,95.79,153.6,1764089291102,1764089318360,15,23
1764089316000,-57.8,50.0,-938.2,107.48,154.96,1764089291102,1764089318360,15,23
1764089316258,-69.09,50.0,-1022.44,116.01,155.96,1764089291102,1764089318360,15,23
1764089316517,-69.09,50.0,-1022.44,112.0,159.97,1764089291102,1764089318360,15,23
1764089316775,-69.09,50.0,-1022.44,112.0,159.97,1764089291102,1764089318360,15,23
1764089317033,-69.09,50.0,-1022.44,112.0,159.97,1764089291102,1764089318360,15,23
